wall_time_iso,wall_time_epoch_s,elapsed_s,phase_index,phase_command_erpm,phase_duration_s,sample_index,command_erpm,left_motor_id,left_motor_label,left_feedback_position_deg,left_feedback_speed_erpm,left_feedback_current_amps,left_feedback_temperature_c,left_feedback_error_code,left_feedback_error_description,right_motor_id,right_motor_label,right_feedback_position_deg,right_feedback_speed_erpm,right_feedback_current_amps,right_feedback_temperature_c,right_feedback_error_code,right_feedback_error_description,sync_error_erpm
2026-08-12T15:12:29.126,1786540349.126259,0.022725,1,6000,5.000000,1,6000,0x03,left,-442.674073,6275,0.295971,173,0,No fault,0x04,right,-443.047425,6186,2.013187,174,0,No fault,89.00
2026-08-12T15:12:29.131,1786540349.131797,0.028245,1,6000,5.000000,2,6000,0x03,left,-441.136743,6275,0.008791,172,0,No fault,0x04,right,-441.400286,6230,-0.565568,174,0,No fault,45.00
2026-08-12T15:12:29.137,1786540349.137129,0.033578,1,6000,5.000000,3,6000,0x03,left,-439.643337,6052,0.014652,173,0,No fault,0x04,right,-439.972765,6007,0.102564,173,0,No fault,45.00
2026-08-12T15:12:29.142,1786540349.142479,0.038919,1,6000,5.000000,4,6000,0x03,left,-438.237779,5918,0.073260,173,0,No fault,0x04,right,-438.589169,5292,0.366300,174,0,No fault,626.00
2026-08-12T15:12:29.147,1786540349.147775,0.044216,1,6000,5.000000,5,6000,0x03,left,-436.832220,5918,0.295971,172,0,No fault,0x04,right,-437.029877,6096,0.237363,174,0,No fault,-178.00
2026-08-12T15:12:29.153,1786540349.153071,0.049512,1,6000,5.000000,6,6000,0x03,left,-435.404700,5873,0.137729,173,0,No fault,0x04,right,-435.558433,5694,0.108425,174,0,No fault,179.00
2026-08-12T15:12:29.158,1786540349.158350,0.054789,1,6000,5.000000,7,6000,0x03,left,-433.955218,6052,0.231502,174,0,No fault,0x04,right,-434.065027,5560,0.219780,170,0,No fault,492.00
2026-08-12T15:12:29.163,1786540349.163614,0.060046,1,6000,5.000000,8,6000,0x03,left,-432.549659,5739,0.102564,172,0,No fault,0x04,right,-432.571621,6052,0.137729,174,0,No fault,-313.00
2026-08-12T15:12:29.168,1786540349.168833,0.065264,1,6000,5.000000,9,6000,0x03,left,-431.122139,5828,0.202198,170,0,No fault,0x04,right,-431.122139,6230,0.161172,174,0,No fault,-402.00
2026-08-12T15:12:29.174,1786540349.174053,0.070483,1,6000,5.000000,10,6000,0x03,left,-429.694618,6141,0.102564,173,0,No fault,0x04,right,-429.716580,6141,0.084982,174,0,No fault,0.00
2026-08-12T15:12:29.179,1786540349.179282,0.075717,1,6000,5.000000,11,6000,0x03,left,-428.245136,6052,0.172894,172,0,No fault,0x04,right,-428.311022,5873,0.249084,173,0,No fault,179.00
2026-08-12T15:12:29.184,1786540349.184548,0.080985,1,6000,5.000000,12,6000,0x03,left,-426.839578,5828,0.102564,173,0,No fault,0x04,right,-426.883501,5784,0.149451,174,0,No fault,44.00
2026-08-12T15:12:29.189,1786540349.189870,0.086313,1,6000,5.000000,13,6000,0x03,left,-425.390095,6052,0.178755,172,0,No fault,0x04,right,-425.455981,5873,0.225641,174,0,No fault,179.00
2026-08-12T15:12:29.195,1786540349.195204,0.091644,1,6000,5.000000,14,6000,0x03,left,-423.940613,6007,0.049817,170,0,No fault,0x04,right,-424.006499,6186,0.184615,174,0,No fault,-179.00
2026-08-12T15:12:29.200,1786540349.200599,0.097040,1,6000,5.000000,15,6000,0x03,left,-422.535055,5694,0.219780,172,0,No fault,0x04,right,-422.578978,5873,0.172894,174,0,No fault,-179.00
2026-08-12T15:12:29.205,1786540349.205898,0.102336,1,6000,5.000000,16,6000,0x03,left,-419.636090,5471,0.172894,171,0,No fault,0x04,right,-421.151458,5784,0.114286,174,0,No fault,-313.00
2026-08-12T15:12:29.211,1786540349.211188,0.107625,1,6000,5.000000,17,6000,0x03,left,-418.208570,5650,0.108425,173,0,No fault,0x04,right,-419.745899,5650,0.225641,174,0,No fault,0.00
2026-08-12T15:12:29.216,1786540349.216476,0.112913,1,6000,5.000000,18,6000,0x03,left,-416.781049,5962,0.237363,172,0,No fault,0x04,right,-418.296417,6096,0.137729,175,0,No fault,-134.00
2026-08-12T15:12:29.221,1786540349.221800,0.118255,1,6000,5.000000,19,6000,0x03,left,-415.353529,5828,0.096703,173,0,No fault,0x04,right,-416.868897,5918,0.260806,174,0,No fault,-90.00
2026-08-12T15:12:29.227,1786540349.227237,0.123678,1,6000,5.000000,20,6000,0x03,left,-413.904047,5739,0.243223,172,0,No fault,0x04,right,-415.441376,5873,0.172894,173,0,No fault,-134.00
2026-08-12T15:12:29.232,1786540349.232679,0.129117,1,6000,5.000000,21,6000,0x03,left,-412.498488,5605,0.149451,172,0,No fault,0x04,right,-414.013856,5784,0.249084,174,0,No fault,-179.00
2026-08-12T15:12:29.237,1786540349.237969,0.134406,1,6000,5.000000,22,6000,0x03,left,-411.049006,5560,0.190476,169,0,No fault,0x04,right,-412.564374,6230,0.190476,174,0,No fault,-670.00
2026-08-12T15:12:29.243,1786540349.243249,0.139684,1,6000,5.000000,23,6000,0x03,left,-409.621486,5694,0.073260,172,0,No fault,0x04,right,-411.158815,5784,0.219780,174,0,No fault,-90.00
2026-08-12T15:12:29.248,1786540349.248531,0.144968,1,6000,5.000000,24,6000,0x03,left,-408.172003,5650,0.202198,173,0,No fault,0x04,right,-409.753257,5962,0.161172,174,0,No fault,-312.00
2026-08-12T15:12:29.253,1786540349.253828,0.150266,1,6000,5.000000,25,6000,0x03,left,-406.744483,5962,0.090842,173,0,No fault,0x04,right,-408.281813,6141,0.254945,174,0,No fault,-179.00
2026-08-12T15:12:29.259,1786540349.259120,0.155558,1,6000,5.000000,26,6000,0x03,left,-405.316963,5918,0.172894,173,0,No fault,0x04,right,-406.876254,5739,0.131868,174,0,No fault,179.00
2026-08-12T15:12:29.264,1786540349.264428,0.160876,1,6000,5.000000,27,6000,0x03,left,-403.867480,5873,0.049817,172,0,No fault,0x04,right,-405.448734,5605,0.225641,174,0,No fault,268.00
2026-08-12T15:12:29.269,1786540349.269760,0.166199,1,6000,5.000000,28,6000,0x03,left,-402.439960,5694,0.219780,171,0,No fault,0x04,right,-404.021213,5918,0.149451,174,0,No fault,-224.00
2026-08-12T15:12:29.275,1786540349.275154,0.171592,1,6000,5.000000,29,6000,0x03,left,-401.012440,5694,0.090842,174,0,No fault,0x04,right,-402.593693,5560,0.208059,174,0,No fault,134.00
2026-08-12T15:12:29.280,1786540349.280442,0.176879,1,6000,5.000000,30,6000,0x03,left,-399.584919,5873,0.196337,173,0,No fault,0x04,right,-399.716690,5560,0.213919,174,0,No fault,313.00
2026-08-12T15:12:29.285,1786540349.285728,0.182169,1,6000,5.000000,31,6000,0x03,left,-398.157399,5873,0.120147,173,0,No fault,0x04,right,-398.311132,5828,0.149451,175,0,No fault,45.00
2026-08-12T15:12:29.306,1786540349.306885,0.203343,1,6000,5.000000,32,6000,0x03,left,-392.425355,5828,0.131868,172,0,No fault,0x04,right,-392.249661,5962,0.161172,174,0,No fault,-134.00
2026-08-12T15:12:29.317,1786540349.317550,0.214005,1,6000,5.000000,33,6000,0x03,left,-391.019797,5694,0.219780,172,0,No fault,0x04,right,-390.734293,6052,0.202198,175,0,No fault,-358.00
2026-08-12T15:12:29.322,1786540349.322977,0.219425,1,6000,5.000000,34,6000,0x03,left,-386.451732,5739,0.049817,172,0,No fault,0x04,right,-387.879252,5605,0.225641,174,0,No fault,134.00
2026-08-12T15:12:29.328,1786540349.328318,0.224763,1,6000,5.000000,35,6000,0x03,left,-385.639143,5605,0.167033,172,0,No fault,0x04,right,-386.429770,5739,0.196337,174,0,No fault,-134.00
