wall_time_iso,wall_time_epoch_s,elapsed_s,sample_index,commanded_position_deg,left_feedback_received,left_position_deg,left_speed_erpm,left_current_amps,left_temperature_c,left_error_code,left_error_description,right_feedback_received,right_position_deg,right_speed_erpm,right_current_amps,right_temperature_c,right_error_code,right_error_description,sync_error_deg,current_asymmetry_amps
2026-08-12T12:03:13.465063,1786528993.465063,0.007370,0,0.000579,1,-59.0465,9,-0.0696,28,0,No fault,1,-54.2161,-273,-0.0623,27,0,No fault,-4.8304,-0.0073
2026-08-12T12:03:13.474278,1786528993.474278,0.016566,1,0.651889,1,-59.0902,-26,-0.0549,28,0,No fault,1,-54.5221,-538,-0.1062,27,0,No fault,-4.5681,0.0513
2026-08-12T12:03:13.483955,1786528993.483955,0.026224,2,1.282900,1,-59.1121,115,-0.0769,28,0,No fault,1,-54.8063,-273,-0.1209,27,0,No fault,-4.3058,0.0440
2026-08-12T12:03:13.490572,1786528993.490572,0.032836,3,2.000176,1,-59.1558,-273,-0.0623,28,0,No fault,1,-54.9374,-538,-0.1062,27,0,No fault,-4.2184,0.0440
2026-08-12T12:03:13.499538,1786528993.499538,0.041795,4,2.495746,1,-59.1777,-97,-0.0623,28,0,No fault,1,-55.2216,-238,-0.0916,27,0,No fault,-3.9561,0.0293
2026-08-12T12:03:13.506065,1786528993.506065,0.048316,5,3.167956,1,-59.1777,62,-0.0696,28,0,No fault,1,-55.3527,-132,-0.0916,27,0,No fault,-3.8250,0.0220
2026-08-12T12:03:13.515028,1786528993.515028,0.057281,6,3.658576,1,-59.1995,-115,-0.0549,28,0,No fault,1,-55.6150,-220,-0.0989,27,0,No fault,-3.5845,0.0440
2026-08-12T12:03:13.521684,1786528993.521684,0.063928,7,4.332955,1,-59.1777,-44,-0.0696,28,0,No fault,1,-55.7461,-344,-0.0989,27,0,No fault,-3.4315,0.0293
2026-08-12T12:03:13.530427,1786528993.530427,0.072699,8,4.828027,1,-59.1777,97,-0.0549,28,0,No fault,1,-56.0084,-837,-0.0696,27,0,No fault,-3.1693,0.0147
2026-08-12T12:03:13.537180,1786528993.537180,0.079422,9,5.493923,1,-59.1777,-26,-0.0183,28,0,No fault,1,-56.1177,-432,-0.0842,27,0,No fault,-3.0600,0.0659
2026-08-12T12:03:13.545794,1786528993.545794,0.088052,10,5.991727,1,-59.1777,79,0.0110,28,0,No fault,1,-56.3363,-185,-0.0696,27,0,No fault,-2.8414,0.0806
2026-08-12T12:03:13.566560,1786528993.566560,0.108815,11,6.652815,1,-59.1558,-97,0.0110,28,0,No fault,1,-56.7953,-220,-0.0696,27,0,No fault,-2.3605,0.0806
2026-08-12T12:03:13.576458,1786528993.576458,0.118709,12,8.200332,1,-59.1558,115,0.0183,28,0,No fault,1,-57.0138,-344,-0.0549,27,0,No fault,-2.1420,0.0733
2026-08-12T12:03:13.595081,1786528993.595081,0.137343,13,8.935622,1,-59.1339,26,0.0549,28,0,No fault,1,-57.2324,-309,-0.0769,27,0,No fault,-1.9016,0.1319
2026-08-12T12:03:13.602623,1786528993.602623,0.144884,14,10.319329,1,-59.0902,115,0.0623,28,0,No fault,1,-57.3198,-485,-0.0916,27,0,No fault,-1.7704,0.1538
2026-08-12T12:03:13.612711,1786528993.612711,0.154961,15,10.883563,1,-59.0684,-203,0.0916,28,0,No fault,1,-57.5165,-432,-0.0842,27,0,No fault,-1.5518,0.1758
2026-08-12T12:03:13.619246,1786528993.619246,0.161497,16,11.625996,1,-59.0247,185,0.0842,28,0,No fault,1,-57.5602,-238,-0.0769,27,0,No fault,-1.4644,0.1612
2026-08-12T12:03:13.627814,1786528993.627814,0.170063,17,12.120256,1,-58.9591,62,0.0916,28,0,No fault,1,-57.6914,-220,-0.0696,27,0,No fault,-1.2677,0.1612
2026-08-12T12:03:13.634496,1786528993.634496,0.176737,18,12.743396,1,-58.9372,167,0.0916,28,0,No fault,1,-57.8007,-485,-0.0769,27,0,No fault,-1.1366,0.1685
