wall_time_iso,wall_time_epoch_s,elapsed_s,sample_index,commanded_velocity_erpm,left_feedback_received,left_position_deg,left_speed_erpm,left_current_amps,left_temperature_c,left_error_code,left_error_description,right_feedback_received,right_position_deg,right_speed_erpm,right_current_amps,right_temperature_c,right_error_code,right_error_description,left_velocity_error_erpm,right_velocity_error_erpm,sync_error_erpm,current_asymmetry_amps
2026-08-11T17:02:29.836957,1786460549.836957,3.003348,0,500,1,138.9555,273,-0.0037,27,0,No fault,1,139.3489,97,0.0916,26,0,No fault,-227.00,-403.00,176.00,-0.0952
2026-08-11T17:02:29.858183,1786460549.858183,3.024535,1,500,1,139.7861,502,0.0476,27,0,No fault,1,139.9391,608,0.1136,26,0,No fault,2.00,108.00,-106.00,-0.0659
2026-08-11T17:02:29.878844,1786460549.878844,3.045174,2,500,1,140.3762,467,0.1209,27,0,No fault,1,140.5729,344,0.0842,26,0,No fault,-33.00,-156.00,123.00,0.0366
2026-08-11T17:02:29.899341,1786460549.899341,3.065678,3,500,1,140.9226,273,0.1355,27,0,No fault,1,141.1630,79,0.0696,26,0,No fault,-227.00,-421.00,194.00,0.0659
2026-08-11T17:02:29.919861,1786460549.919861,3.086186,4,500,1,141.4690,414,0.1136,27,0,No fault,1,141.7532,203,0.0623,26,0,No fault,-86.00,-297.00,211.00,0.0513
2026-08-11T17:02:29.940290,1786460549.940290,3.106602,5,500,1,142.0155,538,0.1355,27,0,No fault,1,142.3652,414,0.0623,26,0,No fault,38.00,-86.00,124.00,0.0733
2026-08-11T17:02:29.960696,1786460549.960696,3.127013,6,500,1,142.5837,309,0.0696,27,0,No fault,1,142.9335,26,0.0842,26,0,No fault,-191.00,-474.00,283.00,-0.0147
2026-08-11T17:02:29.982366,1786460549.982366,3.148678,7,500,1,143.2394,502,-0.0037,27,0,No fault,1,143.5236,679,0.0769,26,0,No fault,2.00,179.00,-177.00,-0.0806
2026-08-11T17:02:30.002740,1786460550.002740,3.169047,8,500,1,144.1356,361,0.0549,27,0,No fault,1,144.0919,273,0.1062,26,0,No fault,-139.00,-227.00,88.00,-0.0513
2026-08-11T17:02:30.023068,1786460550.023068,3.189377,9,500,1,144.4416,326,0.0989,27,0,No fault,1,144.7039,150,0.0476,26,0,No fault,-174.00,-350.00,176.00,0.0513
2026-08-11T17:02:30.043629,1786460550.043629,3.209939,10,500,1,144.7257,450,0.1209,27,0,No fault,1,145.2940,538,0.0842,26,0,No fault,-50.00,38.00,-88.00,0.0366
2026-08-11T17:02:30.064131,1786460550.064131,3.230438,11,500,1,145.3814,273,0.1355,27,0,No fault,1,145.7530,538,0.0476,26,0,No fault,-227.00,38.00,-265.00,0.0879
2026-08-11T17:02:30.084440,1786460550.084440,3.250755,12,500,1,145.9060,238,0.1209,27,0,No fault,1,146.5617,661,0.0696,26,0,No fault,-262.00,161.00,-423.00,0.0513
2026-08-11T17:02:33.170395,1786460553.170395,6.336756,13,1000,1,304.6092,926,0.0623,27,0,No fault,1,344.3889,996,0.0623,26,0,No fault,-74.00,-4.00,-70.00,0.0000
2026-08-11T17:02:33.191023,1786460553.191023,6.357381,14,1000,1,306.0081,943,-0.0110,27,0,No fault,1,345.7221,1278,0.0696,26,0,No fault,-57.00,278.00,-335.00,-0.0806
2026-08-11T17:02:33.211617,1786460553.211617,6.377980,15,1000,1,307.3195,943,0.1429,27,0,No fault,1,347.0773,890,0.0623,26,0,No fault,-57.00,-110.00,53.00,0.0806
2026-08-11T17:02:33.232231,1786460553.232231,6.398560,16,1000,1,308.6090,1349,0.0916,27,0,No fault,1,348.3887,1014,0.0769,26,0,No fault,349.00,14.00,335.00,0.0147
2026-08-11T17:02:33.252728,1786460553.252728,6.419150,17,1000,1,309.9642,1014,-0.0110,27,0,No fault,1,349.7220,943,0.0476,26,0,No fault,14.00,-57.00,71.00,-0.0586
