time_s,commanded_deg,actual_deg,speed_erpm,current_amps,temp_c,error_code,label
0.000,0.0,-126.70,0,0.190,34,0,home — arm hanging straight down
0.060,0.0,-126.70,0,0.110,34,0,home — arm hanging straight down
0.140,0.0,-126.70,0,0.140,34,0,home — arm hanging straight down
0.200,0.0,-126.70,0,0.220,34,0,home — arm hanging straight down
0.260,0.0,-126.70,0,0.200,34,0,home — arm hanging straight down
0.340,0.0,-126.70,0,0.220,34,0,home — arm hanging straight down
0.400,0.0,-126.70,0,0.160,34,0,home — arm hanging straight down
0.460,0.0,-126.70,0,0.260,33,0,home — arm hanging straight down
0.520,0.0,-126.70,0,0.170,34,0,home — arm hanging straight down
0.580,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
0.640,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
0.700,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
0.760,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
0.820,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
0.880,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
0.940,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.000,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.060,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.120,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.181,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.240,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.300,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.360,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.420,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.500,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.560,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.620,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.680,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.740,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.800,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.860,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.921,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
1.980,0.0,-126.70,0,0.000,33,0,home — arm hanging straight down
2.020,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
2.080,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
2.140,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
2.200,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
2.260,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
2.320,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
2.380,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
2.440,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
2.500,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
2.560,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
2.620,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
2.680,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
2.740,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
2.800,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
2.860,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
2.920,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
2.980,90.0,-126.70,0,0.000,33,0,arm horizontal (parallel to ground)
