time_s,commanded_deg,actual_deg,speed_erpm,current_amps,temp_c,error_code,duty,label
0.019,0.0,0.00,0,-0.230,34,0,0.0000,home — arm hanging straight down
0.079,0.0,0.00,0,-0.310,34,0,0.0000,home — arm hanging straight down
0.139,0.0,0.00,0,-0.180,34,0,0.0000,home — arm hanging straight down
0.199,0.0,0.00,0,-0.140,34,0,0.0000,home — arm hanging straight down
0.259,0.0,0.00,0,-0.130,34,0,0.0000,home — arm hanging straight down
0.319,0.0,0.00,0,-0.310,34,0,0.0000,home — arm hanging straight down
0.379,0.0,0.00,0,-0.170,34,0,0.0000,home — arm hanging straight down
0.440,0.0,0.00,0,-0.220,34,0,0.0000,home — arm hanging straight down
0.500,0.0,0.00,0,-0.230,34,0,0.0000,home — arm hanging straight down
0.559,0.0,0.00,0,-0.320,34,0,0.0000,home — arm hanging straight down
0.619,0.0,0.00,0,-0.290,34,0,0.0000,home — arm hanging straight down
0.679,0.0,0.00,0,-0.170,34,0,0.0000,home — arm hanging straight down
0.739,0.0,0.00,0,-0.170,34,0,0.0000,home — arm hanging straight down
0.799,0.0,0.00,0,-0.190,34,0,0.0000,home — arm hanging straight down
0.859,0.0,0.00,0,-0.140,34,0,0.0000,home — arm hanging straight down
0.919,0.0,0.00,0,-0.290,34,0,0.0000,home — arm hanging straight down
0.979,0.0,0.00,0,-0.270,34,0,0.0000,home — arm hanging straight down
1.039,0.0,0.00,0,-0.320,34,0,0.0000,home — arm hanging straight down
1.099,0.0,0.00,0,-0.180,34,0,0.0000,home — arm hanging straight down
1.159,0.0,0.00,0,-0.200,34,0,0.0000,home — arm hanging straight down
1.219,0.0,0.00,0,-0.200,34,0,0.0000,home — arm hanging straight down
1.279,0.0,0.00,0,-0.180,34,0,0.0000,home — arm hanging straight down
1.339,0.0,0.00,0,-0.160,34,0,0.0000,home — arm hanging straight down
1.399,0.0,0.00,0,-0.230,34,0,0.0000,home — arm hanging straight down
1.459,0.0,0.00,0,-0.160,34,0,0.0000,home — arm hanging straight down
1.519,0.0,0.00,0,-0.160,34,0,0.0000,home — arm hanging straight down
1.539,90.0,0.00,0,-0.150,34,0,0.1500,arm horizontal (parallel to ground)
1.599,90.0,10.10,2530,0.250,34,0,0.1500,arm horizontal (parallel to ground)
1.659,90.0,20.80,2450,0.280,34,0,0.1375,arm horizontal (parallel to ground)
1.719,90.0,30.20,2040,-0.110,34,0,0.1217,arm horizontal (parallel to ground)
1.779,90.0,38.30,1750,0.200,34,0,0.1050,arm horizontal (parallel to ground)
1.839,90.0,45.10,1460,0.550,34,0,0.0926,arm horizontal (parallel to ground)
1.899,90.0,50.90,1280,0.270,34,0,0.0813,arm horizontal (parallel to ground)
1.959,90.0,56.00,1090,0.040,34,0,0.0706,arm horizontal (parallel to ground)
2.019,90.0,60.30,950,0.010,34,0,0.0631,arm horizontal (parallel to ground)
2.079,90.0,64.10,820,0.130,34,0,0.0537,arm horizontal (parallel to ground)
2.139,90.0,67.40,720,0.420,34,0,0.0478,arm horizontal (parallel to ground)
2.199,90.0,70.20,630,0.290,34,0,0.0411,arm horizontal (parallel to ground)
2.259,90.0,72.60,520,0.140,34,0,0.0362,arm horizontal (parallel to ground)
2.319,90.0,74.60,450,0.420,34,0,0.0322,arm horizontal (parallel to ground)
2.379,90.0,76.30,350,0.310,34,0,0.0311,arm horizontal (parallel to ground)
2.439,90.0,77.80,350,0.000,34,0,0.0266,arm horizontal (parallel to ground)
2.499,90.0,79.00,280,0.470,34,0,0.0250,arm horizontal (parallel to ground)
2.559,90.0,80.20,230,0.430,34,0,0.0212,arm horizontal (parallel to ground)
2.619,90.0,80.90,170,0.220,34,0,0.0233,arm horizontal (parallel to ground)
2.679,90.0,81.80,190,-0.080,34,0,0.0186,arm horizontal (parallel to ground)
2.739,90.0,82.50,150,0.140,34,0,0.0185,arm horizontal (parallel to ground)
2.799,90.0,83.00,90,0.350,34,0,0.0190,arm horizontal (parallel to ground)
2.859,90.0,83.40,80,0.500,34,0,0.0178,arm horizontal (parallel to ground)
2.919,90.0,83.90,90,0.530,34,0,0.0163,arm horizontal (parallel to ground)
2.979,90.0,84.30,110,0.470,34,0,0.0131,arm horizontal (parallel to ground)
3.039,90.0,84.60,70,0.420,34,0,0.0142,arm horizontal (parallel to ground)
3.099,90.0,84.80,40,0.350,34,0,0.0156,arm horizontal (parallel to ground)
3.159,90.0,85.10,20,0.190,34,0,0.0127,arm horizontal (parallel to ground)
3.219,90.0,85.30,60,0.170,34,0,0.0121,arm horizontal (parallel to ground)
3.279,90.0,85.40,10,0.080,34,0,0.0138,arm horizontal (parallel to ground)
3.339,90.0,85.50,10,0.160,34,0,0.0135,arm horizontal (parallel to ground)
3.399,90.0,85.60,0,0.080,34,0,0.0132,arm horizontal (parallel to ground)
3.459,90.0,85.60,10,0.100,34,0,0.0132,arm horizontal (parallel to ground)
3.519,90.0,85.70,0,0.070,34,0,0.0129,arm horizontal (parallel to ground)
3.579,90.0,85.70,0,0.140,34,0,0.0129,arm horizontal (parallel to ground)
3.639,90.0,85.70,0,0.100,34,0,0.0129,arm horizontal (parallel to ground)
3.699,90.0,85.70,0,0.130,34,0,0.0129,arm horizontal (parallel to ground)
3.759,90.0,85.70,0,0.120,34,0,0.0129,arm horizontal (parallel to ground)
3.819,90.0,85.70,0,0.090,34,0,0.0129,arm horizontal (parallel to ground)
3.879,90.0,85.80,0,0.100,34,0,0.0126,arm horizontal (parallel to ground)
