time_s,commanded_deg,actual_deg,velocity_deg_s,speed_erpm,current_amps,temp_c,error_code,duty,loop,label
0.003,0.0,-113.10,0.00,0,0.000,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
0.063,0.0,-113.10,0.00,0,0.110,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
0.123,0.0,-113.10,0.00,0,0.100,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
0.184,0.0,-113.10,0.00,0,0.090,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
0.244,0.0,-113.00,4.98,30,0.350,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
0.304,0.0,-112.10,14.95,250,-0.250,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
0.365,0.0,-110.90,20.43,260,-0.030,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
0.425,0.0,-109.80,19.73,240,0.390,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
0.485,0.0,-109.00,19.93,270,0.200,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
0.545,0.0,-108.00,14.95,210,-0.110,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
0.606,0.0,-106.90,18.89,260,-0.140,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
0.666,0.0,-105.80,14.94,250,0.260,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
0.726,0.0,-104.70,19.95,230,0.210,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
0.786,0.0,-103.70,19.97,230,-0.160,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
0.847,0.0,-102.70,15.00,230,-0.120,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
0.907,0.0,-101.70,19.84,220,0.220,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
0.968,0.0,-100.70,14.61,230,0.350,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.028,0.0,-99.80,15.11,180,0.090,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.088,0.0,-98.90,14.89,230,-0.260,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.148,0.0,-98.30,15.06,200,-0.040,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.208,0.0,-97.50,14.89,190,0.270,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.268,0.0,-96.60,14.99,220,0.340,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.329,0.0,-95.70,14.94,170,0.180,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.389,0.0,-95.00,14.98,180,-0.150,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.449,0.0,-94.20,14.95,200,-0.060,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.509,0.0,-93.40,10.02,170,0.240,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.570,0.0,-92.70,15.27,180,0.380,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.630,0.0,-91.90,14.96,180,0.330,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.690,0.0,-91.20,9.97,160,0.060,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.750,0.0,-90.50,9.97,130,-0.070,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.810,0.0,-90.00,15.00,170,-0.130,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.871,0.0,-89.40,9.98,140,0.140,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.931,0.0,-88.80,9.93,140,0.400,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
1.991,0.0,-88.10,9.92,120,0.460,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
2.051,0.0,-87.50,9.94,130,0.350,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
2.112,0.0,-87.10,9.96,120,0.200,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
2.172,0.0,-86.50,9.96,140,0.000,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
2.232,0.0,-85.90,9.92,140,-0.020,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
2.292,0.0,-85.40,9.96,110,0.030,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
2.353,0.0,-85.00,4.98,80,0.290,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
2.413,0.0,-84.60,4.99,110,0.370,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
2.473,0.0,-84.00,9.97,140,0.460,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
2.533,0.0,-83.40,9.97,100,0.500,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
2.593,0.0,-83.20,0.00,30,0.430,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
2.654,0.0,-83.10,0.00,20,0.410,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
2.714,0.0,-82.90,5.00,80,0.270,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
2.774,0.0,-82.50,4.99,70,0.150,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
2.834,0.0,-82.20,9.94,80,0.010,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
2.895,0.0,-81.70,9.96,130,-0.080,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
2.955,0.0,-81.20,9.97,90,0.050,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.015,0.0,-80.90,4.99,40,0.240,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.076,0.0,-80.70,4.98,30,0.320,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.136,0.0,-80.60,0.00,10,0.380,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.196,0.0,-80.50,4.99,30,0.380,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.256,0.0,-80.20,9.93,80,0.420,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.316,0.0,-79.90,4.98,50,0.560,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.377,0.0,-79.60,5.00,100,0.490,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.437,0.0,-79.30,4.99,100,0.530,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.497,0.0,-78.90,10.00,90,0.420,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.558,0.0,-78.70,5.02,40,0.390,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.618,0.0,-78.50,0.00,40,0.280,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.678,0.0,-78.30,4.99,30,0.230,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.738,0.0,-78.20,0.00,10,0.210,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.798,0.0,-78.20,0.00,0,0.230,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.859,0.0,-78.20,0.00,0,0.220,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.919,0.0,-78.20,0.00,0,0.220,23,0,0.0150,1/5,[1/5] home — leg hanging straight down
3.979,0.0,-78.20,0.00,0,0.220,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
4.039,0.0,-78.20,0.00,0,0.210,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
4.100,0.0,-78.20,0.00,0,0.210,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
4.160,0.0,-78.10,0.00,0,0.230,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
4.220,0.0,-78.10,0.00,0,0.210,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
4.280,0.0,-78.10,0.00,0,0.180,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
4.341,0.0,-78.10,0.00,0,0.210,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
4.401,0.0,-78.10,0.00,0,0.190,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
4.461,0.0,-78.10,0.00,0,0.200,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
4.521,0.0,-78.10,0.00,0,0.180,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
4.581,0.0,-78.10,0.00,0,0.200,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
4.642,0.0,-78.10,0.00,0,0.190,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
4.702,0.0,-78.10,0.00,0,0.180,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
4.762,0.0,-78.10,0.00,0,0.180,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
4.822,0.0,-78.10,0.00,0,0.180,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
4.883,0.0,-78.10,0.00,0,0.160,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
4.943,0.0,-78.10,0.00,0,0.180,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
5.003,0.0,-78.00,4.98,10,0.200,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
5.063,0.0,-77.90,4.97,50,0.080,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
5.123,0.0,-77.50,9.99,80,0.010,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
5.183,0.0,-77.30,5.00,30,0.020,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
5.244,0.0,-77.00,4.99,70,0.050,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
5.304,0.0,-76.80,4.99,70,0.100,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
5.364,0.0,-76.60,4.97,20,0.240,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
5.424,0.0,-76.40,4.99,60,0.280,24,0,0.0150,1/5,[1/5] home — leg hanging straight down
